"X__2","X__4","X__5","X__8","X__17","X__18","X__36","X__39","X__48","X__53","X__59","X__64","X__70","X__71","X__74","X__96","X__109","X__113","X__117","autres"
0,1.7,0,12.73,0,4.5,3,12.5,0,0,3,0,0,0,11,0,42.02,0,0,9.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.17,0,49.82,0,0,0.00999999999999091
0,1.7,0,12.73,0,4.5,3,12.5,0,0,3,0,0,0,11,0,42.02,0,0,9.55
0,1.7,0,12.73,0,4.5,3,12.5,0,0,3,0,0,0,11,0,42.02,0,0,9.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.77,0,49.22,0,0,0.00999999999999091
0,1.7,0,13.01,0,4.5,0,4,0,0,1,3,0,0,16.26,0,46.98,0,0,9.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.97,0,48.02,0,0,0.00999999999999091
0,1.7,0,13.01,0,4.5,0,4,0,0,1,3,0,0,16.26,0,46.98,0,0,9.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.36,0,44.63,0,0,0.00999999999999091
0,1.7,0,12.77,0,4.5,0,4,0,0,3,3,0,0,15.96,0,48.02,0,0,7.05
0,6.3,0,12.13,0,1.5,0,4,0,0,1,3,0,0,15.17,0,47.35,0,0,9.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,83.19,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,0,82.39,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79,0,81.21,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.68,0,78.32,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.59,0,77.41,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.18,0,73.82,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77,0,72.23,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.04,0,70.96,0,0,0
