"vis","X__3","X__4","X__8","X__10","X__17","X__18","X__29","X__30","X__43","X__46","X__48","X__49","X__53","X__57","X__59","X__64","X__67","X__71","X__74","X__84","X__86","X__106","X__109","X__113","X__115","X__117","X__133","X__138","autres"
12,0,1.7,12.77,0,0,4.5,0,0,0,2,0,0,0,0,3,3,0,0,15.96,0,0,0,48.02,0,0.2,0,0,1.4,7.45
44,0,6.3,12.13,0,0,1.5,0,0,0,0,0,0,0,0,1,3,0,0,15.17,0,0,0,47.35,0,0.2,0,0,1.4,11.95
2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,83.19,0,0,0,0,0,0
1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,82.39,0,0,0,0,0,0
1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79,0,0,0,81.21,0,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.68,0,0,0,78.32,0,0,0,0,0,0
538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.59,0,0,0,77.41,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.18,0,0,0,73.82,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77,0,0,0,72.23,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.04,0,0,0,70.96,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.23,0,0,0,68.77,0,0,0,0,0,0
9,0,1.7,12.73,0,0,4.5,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,42.02,0,0.2,0,0,1.4,23.45
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.44,0,0,0,67.56,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.62,0,0,0,67.38,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2,0,0,0,66.8,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.77,0,0,0,66.23,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.31,0,0,0,65.69,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.72,0,0,0,64.28,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,63.4,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.12,0,0,0,62.88,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.14,0,0,0,61.86,0,0,0,0,0,0
